hospital_id,hospital_name,neighborhood,system,data_completeness,cpt,cpt_desc,gross_charge,discounted_cash,de_identified_min,de_identified_max,bcbs_price,bcbs_source,bcbs_plan,aetna_price,aetna_source,harvard_pilgrim_price,hp_plan_name,hp_source,uhc_price,uhc_source,bcbs_tic_rate,bcbs_tic_billing_class,billing_class,setting,rate_methodology,turquoise_bundled_price,turquoise_quality_rating,masscomparecare_total_paid,fh_physician_in_network,fh_physician_oon,fh_anesthesia_in_network,fh_facility_hosp_in_network,fh_facility_asc_in_network,fh_pathology_in_network
bidmc,Beth Israel Deaconess Medical Center,Longwood,Beth Israel Lahey Health,gross_only,11102,Tangential biopsy skin single lesion,1176.0,,,,,,,,,,,,,,,,unknown,both,,,,,237,399,,496,,114
bidmc,Beth Israel Deaconess Medical Center,Longwood,Beth Israel Lahey Health,gross_only,11104,Punch biopsy skin single lesion,1183.0,,,,,,,,,,,,,,,,unknown,both,,,,,307,581,,517,1344,114
bidmc,Beth Israel Deaconess Medical Center,Longwood,Beth Israel Lahey Health,gross_only,11106,Incisional biopsy skin single lesion,1304.0,,,,,,,,,,,,,,,,unknown,both,,,,,328,724,,1208,823,
bidmc,Beth Israel Deaconess Medical Center,Longwood,Beth Israel Lahey Health,gross_only,11400,Excision benign lesion trunk/ext 0.5cm or less,838.0,,,,,,,,,,,,,,,,unknown,both,,,,,437,739,,1208,823,
bidmc,Beth Israel Deaconess Medical Center,Longwood,Beth Israel Lahey Health,gross_only,11401,Excision benign lesion trunk/ext 0.6-1.0cm,849.0,,,,,,,,,,,,,,,,unknown,both,,,,,529,878,,1208,823,
bidmc,Beth Israel Deaconess Medical Center,Longwood,Beth Israel Lahey Health,gross_only,11402,Excision benign lesion trunk/ext 1.1-2.0cm,861.0,,,,,,,,,,,,,,,,unknown,both,,,,,612,1024,,1208,823,
bidmc,Beth Israel Deaconess Medical Center,Longwood,Beth Israel Lahey Health,gross_only,11600,Excision malignant lesion trunk/ext 0.5cm or less,1034.0,,,,,,,,,,,,,,,,unknown,both,,,,,549,917,,1208,823,
bidmc,Beth Israel Deaconess Medical Center,Longwood,Beth Israel Lahey Health,gross_only,11601,Excision malignant lesion trunk/ext 0.6-1.0cm,586.0,,,,,,,,,,,,,,,,unknown,both,,,,,641,1071,,1208,823,
bidmc,Beth Israel Deaconess Medical Center,Longwood,Beth Israel Lahey Health,gross_only,11602,Excision malignant lesion trunk/ext 1.1-2.0cm,879.0,,,,,,,,,,,,,,,,unknown,both,,,,,741,1229,,1208,823,
bidmc,Beth Israel Deaconess Medical Center,Longwood,Beth Israel Lahey Health,gross_only,17000,Destruction benign/premalignant lesion first,190.0,,,,,,,,,,,,,,,,unknown,both,,,,,156,312,,,,
bidmc,Beth Israel Deaconess Medical Center,Longwood,Beth Israel Lahey Health,gross_only,17003,Destruction benign/premalignant lesion 2nd-14th each,187.0,,,,,,,,,,,,,,,,unknown,both,,,,,18,51,,,,
bidmc,Beth Israel Deaconess Medical Center,Longwood,Beth Israel Lahey Health,gross_only,17110,Destruction benign lesions up to 14,835.0,,,,,,,,,,,,,,,,unknown,both,,,,,196,393,,,,
bidmc,Beth Israel Deaconess Medical Center,Longwood,Beth Israel Lahey Health,gross_only,17311,Mohs surgery first stage trunk/ext up to 5 blocks,1803.0,,,,,,,,,,,,,,,,unknown,both,,,,,1100,1843,,1652,1344,
bidmc,Beth Israel Deaconess Medical Center,Longwood,Beth Israel Lahey Health,gross_only,17312,Mohs surgery each additional block,2033.0,,,,,,,,,,,,,,,,unknown,both,,,,,271,449,,,,
bidmc,Beth Israel Deaconess Medical Center,Longwood,Beth Israel Lahey Health,gross_only,17313,Mohs surgery first stage head/neck/hands up to 5 blocks,1799.0,,,,,,,,,,,,,,,,unknown,both,,,,,950,1583,,1652,1344,
bidmc,Beth Israel Deaconess Medical Center,Longwood,Beth Israel Lahey Health,gross_only,88305,Pathology exam tissue intermediate,435.0,,,,,,,,,,,,,,,,unknown,both,,,,,114,171,,,,
bidmc,Beth Israel Deaconess Medical Center,Longwood,Beth Israel Lahey Health,gross_only,96910,Photochemotherapy tar + UVB,456.0,,,,,,,,,,,,,,,,unknown,both,,,,,64,127,,,,
bidmc,Beth Israel Deaconess Medical Center,Longwood,Beth Israel Lahey Health,gross_only,99213,Office visit est patient lvl 3,187.0,,,,,,,,,,,,,,,,unknown,both,,,,,198,343,,,,
bidmc,Beth Israel Deaconess Medical Center,Longwood,Beth Israel Lahey Health,gross_only,99214,Office visit est patient lvl 4,226.0,,,,,,,,,,,,,,,,unknown,both,,,,,279,472,,485,,
bmc,Boston Medical Center,South End,Independent,full,11102,Tangential biopsy skin single lesion,272.0,68.0,296.32,1198.25,296.32,negotiated_dollar,BLUE CROSS OUT OF STATE PPO,1198.25,negotiated_dollar,380.96,HPHC-HARVARD PILGRIM HEALTHCAR,negotiated_dollar,371.6,negotiated_dollar,,,unknown,outpatient,,,,,237,399,,496,,114
bmc,Boston Medical Center,South End,Independent,full,11104,Punch biopsy skin single lesion,272.0,68.0,296.32,1198.25,296.32,negotiated_dollar,BLUE CROSS OUT OF STATE INDEMNIT,1198.25,negotiated_dollar,380.96,HPHC-HARVARD PILGRIM HEALTHCAR,negotiated_dollar,371.6,negotiated_dollar,,,unknown,outpatient,,,,,307,581,,517,1344,114
bmc,Boston Medical Center,South End,Independent,full,11106,Incisional biopsy skin single lesion,484.0,121.0,317.71,1198.25,527.46,negotiated_dollar,BLUE CROSS-HMO BLUE,1198.25,negotiated_dollar,678.1,HPHC-HARVARD PILGRIM HEALTHCAR,negotiated_dollar,678.1,negotiated_dollar,,,unknown,outpatient,,,,,328,724,,1208,823,
bmc,Boston Medical Center,South End,Independent,full,11400,Excision benign lesion trunk/ext 0.5cm or less,611.0,152.75,684.11,2032.26,972.93,negotiated_dollar,BLUE CROSS  OUT OF STATE HMO,1198.25,negotiated_dollar,1250.8,HPHC-HARVARD PILGRIM HPI,negotiated_dollar,1250.8,negotiated_dollar,,,unknown,outpatient,,,,,437,739,,1208,823,
bmc,Boston Medical Center,South End,Independent,full,11401,Excision benign lesion trunk/ext 0.6-1.0cm,798.0,199.5,527.46,2032.26,527.46,negotiated_dollar,BLUE CROSS-HMO BLUE,1198.25,negotiated_dollar,678.1,HPHC-HARVARD PILGRIM HPI,negotiated_dollar,678.1,negotiated_dollar,,,unknown,outpatient,,,,,529,878,,1208,823,
bmc,Boston Medical Center,South End,Independent,full,11402,Excision benign lesion trunk/ext 1.1-2.0cm,876.0,219.0,684.11,2032.26,972.93,negotiated_dollar,BLUE CROSS OUT OF STATE INDEMNIT,1198.25,negotiated_dollar,1250.8,HPHC-HARVARD PILGRIM HEALTHCAR,negotiated_dollar,1220.09,negotiated_dollar,,,unknown,outpatient,,,,,612,1024,,1208,823,
bmc,Boston Medical Center,South End,Independent,full,11600,Excision malignant lesion trunk/ext 0.5cm or less,870.0,217.5,972.93,3264.67,972.93,negotiated_dollar,BLUE CROSS-INDEMNITY,1198.25,negotiated_dollar,1250.8,HPHC-HARVARD PILGRIM HEALTHCAR,negotiated_dollar,1220.09,negotiated_dollar,,,unknown,outpatient,,,,,549,917,,1208,823,
bmc,Boston Medical Center,South End,Independent,full,11601,Excision malignant lesion trunk/ext 0.6-1.0cm,1146.0,286.5,684.11,2032.26,972.93,negotiated_dollar,BLUE CROSS  OUT OF STATE HMO,1198.25,negotiated_dollar,1250.8,HPHC-HARVARD PILGRIM HEALTHCAR,negotiated_dollar,1220.09,negotiated_dollar,,,unknown,outpatient,,,,,641,1071,,1208,823,
bmc,Boston Medical Center,South End,Independent,full,11602,Excision malignant lesion trunk/ext 1.1-2.0cm,1262.0,315.5,527.46,2032.26,527.46,negotiated_dollar,BLUE CROSS-HMO BLUE,1198.25,negotiated_dollar,678.1,HPHC-HARVARD PILGRIM HPI,negotiated_dollar,678.1,negotiated_dollar,,,unknown,outpatient,,,,,741,1229,,1208,823,
bmc,Boston Medical Center,South End,Independent,full,17000,Destruction benign/premalignant lesion first,430.0,107.5,171.09,1198.25,296.32,negotiated_dollar,BLUE CROSS OUT OF STATE PPO,1198.25,negotiated_dollar,380.96,HPHC-HARVARD PILGRIM HPI,negotiated_dollar,380.96,negotiated_dollar,,,unknown,outpatient,,,,,156,312,,,,
bmc,Boston Medical Center,South End,Independent,full,17003,Destruction benign/premalignant lesion 2nd-14th each,34.0,8.5,6.04,1198.25,6.04,negotiated_dollar,BLUE CROSS  OUT OF STATE HMO,1198.25,negotiated_dollar,,,,,,,,unknown,outpatient,,,,,18,51,,,,
bmc,Boston Medical Center,South End,Independent,full,17110,Destruction benign lesions up to 14,536.0,134.0,171.09,1198.25,296.32,negotiated_dollar,BLUE CROSS-HMO BLUE,1198.25,negotiated_dollar,380.96,HPHC-HARVARD PILGRIM HPI,negotiated_dollar,371.6,negotiated_dollar,,,unknown,outpatient,,,,,196,393,,,,
bmc,Boston Medical Center,South End,Independent,full,17311,Mohs surgery first stage trunk/ext up to 5 blocks,2913.0,728.25,684.11,2032.26,810.95,negotiated_dollar,BLUE CROSS OUT OF STATE PPO,1500.85,negotiated_dollar,1042.56,HPHC-HARVARD PILGRIM HEALTHCAR,negotiated_dollar,1016.97,negotiated_dollar,,,unknown,outpatient,,,,,1100,1843,,1652,1344,
bmc,Boston Medical Center,South End,Independent,full,17312,Mohs surgery each additional block,1547.0,386.75,499.91,1198.25,499.91,negotiated_dollar,BLUE CROSS OUT OF STATE INDEMNIT,1198.25,negotiated_dollar,,,,,,,,unknown,outpatient,,,,,271,449,,,,
bmc,Boston Medical Center,South End,Independent,full,17313,Mohs surgery first stage head/neck/hands up to 5 blocks,2612.0,653.0,684.11,2032.26,810.95,negotiated_dollar,BLUE CROSS-INDEMNITY,1500.85,negotiated_dollar,1042.56,HPHC-HARVARD PILGRIM HEALTHCAR,negotiated_dollar,1016.97,negotiated_dollar,,,unknown,outpatient,,,,,950,1583,,1652,1344,
bmc,Boston Medical Center,South End,Independent,full,88305,Pathology exam tissue intermediate,331.0,82.75,67.04,557.3,67.04,negotiated_dollar,BLUE CROSS-PPO,,,110.07,HPHC-HARVARD PILGRIM HEALTHCAR,negotiated_dollar,110.07,negotiated_dollar,,,unknown,outpatient,,,,,114,171,,,,
bmc,Boston Medical Center,South End,Independent,full,96910,Photochemotherapy tar + UVB,341.0,85.25,93.87,317.35,93.87,negotiated_dollar,BLUE CROSS-HMO BLUE,,,120.69,HPHC-HARVARD PILGRIM HEALTHCAR,negotiated_dollar,117.73,negotiated_dollar,,,unknown,outpatient,,,,,64,127,,,,
bmc,Boston Medical Center,South End,Independent,full,99213,Office visit est patient lvl 3,214.0,53.5,33.74,123.78,123.78,negotiated_dollar,BLUE CROSS OUT OF STATE INDEMNIT,,,,,,,,,,unknown,outpatient,,,,,198,343,,,,
bmc,Boston Medical Center,South End,Independent,full,99214,Office visit est patient lvl 4,327.0,81.75,33.74,190.85,190.85,negotiated_dollar,BLUE CROSS-HMO BLUE,,,,,,,,,,unknown,outpatient,,,,,279,472,,485,,
bmc_brighton,BMC Brighton (Formerly St. Elizabeth's),Brighton,BMC Health System,full,11102,Tangential biopsy skin single lesion,338.42,152.289,201.78,633.34,487.19,negotiated_dollar,BMCB HB MEDICARE - NO IME,487.19,negotiated_dollar,225.55,BMCB HB HARVARD PILGRIM,negotiated_dollar,487.19,negotiated_dollar,56.19,institutional,institutional,both,fee schedule,,,,237,399,,496,,114
bmc_brighton,BMC Brighton (Formerly St. Elizabeth's),Brighton,BMC Health System,full,11104,Punch biopsy skin single lesion,1405.02,632.259,201.78,1064.02,487.19,negotiated_dollar,BMCB HB MEDICARE - NO IME,487.19,negotiated_dollar,225.55,BMCB HB HARVARD PILGRIM,negotiated_dollar,487.19,negotiated_dollar,69.86,institutional,institutional,both,fee schedule,,,,307,581,,517,1344,114
bmc_brighton,BMC Brighton (Formerly St. Elizabeth's),Brighton,BMC Health System,full,11106,Incisional biopsy skin single lesion,602.38,271.071,225.55,1151.46,885.74,negotiated_dollar,BMCB HB MEDICARE - NO IME,885.74,negotiated_dollar,225.55,BMCB HB HARVARD PILGRIM,negotiated_dollar,885.74,negotiated_dollar,84.14,institutional,institutional,both,fee schedule,,,,328,724,,1208,823,
bmc_brighton,BMC Brighton (Formerly St. Elizabeth's),Brighton,BMC Health System,full,11400,Excision benign lesion trunk/ext 0.5cm or less,1143.65,514.643,475.07,1231.4,662.51,negotiated_dollar,BMCB HB BLUE CROSS INDEMNITY & PPO,848.66,negotiated_dollar,848.66,BMCB HB MEDICARE - NO IME,negotiated_dollar,848.66,negotiated_dollar,133.43,institutional,institutional,both,fee schedule,,,,437,739,,1208,823,
bmc_brighton,BMC Brighton (Formerly St. Elizabeth's),Brighton,BMC Health System,full,11401,Excision benign lesion trunk/ext 0.6-1.0cm,1143.65,514.643,359.17,1231.4,359.17,negotiated_dollar,BMCB HB BLUE CROSS INDEMNITY & PPO,487.19,negotiated_dollar,487.19,BMCB HB MEDICARE - NO IME,negotiated_dollar,487.19,negotiated_dollar,165.59,institutional,institutional,both,fee schedule,,,,529,878,,1208,823,
bmc_brighton,BMC Brighton (Formerly St. Elizabeth's),Brighton,BMC Health System,full,11402,Excision benign lesion trunk/ext 1.1-2.0cm,1143.65,514.643,475.07,1231.4,662.51,negotiated_dollar,BMCB HB BLUE CROSS INDEMNITY & PPO,848.66,negotiated_dollar,848.66,BMCB HB MEDICARE - NO IME,negotiated_dollar,848.66,negotiated_dollar,180.63,institutional,institutional,both,fee schedule,,,,612,1024,,1208,823,
bmc_brighton,BMC Brighton (Formerly St. Elizabeth's),Brighton,BMC Health System,full,11600,Excision malignant lesion trunk/ext 0.5cm or less,,,,,188.85,bcbs_tic_insurer_mrf,HMO Blue Fully Insured (TiC),,,,,,,,188.85,institutional,institutional,outpatient,fee schedule,,,,549,917,,1208,823,
bmc_brighton,BMC Brighton (Formerly St. Elizabeth's),Brighton,BMC Health System,full,11601,Excision malignant lesion trunk/ext 0.6-1.0cm,,,,,228.69,bcbs_tic_insurer_mrf,HMO Blue Fully Insured (TiC),,,,,,,,228.69,institutional,institutional,outpatient,fee schedule,,,,641,1071,,1208,823,
bmc_brighton,BMC Brighton (Formerly St. Elizabeth's),Brighton,BMC Health System,full,11602,Excision malignant lesion trunk/ext 1.1-2.0cm,,,,,248.76,bcbs_tic_insurer_mrf,HMO Blue Fully Insured (TiC),,,,,,,,248.76,institutional,institutional,outpatient,fee schedule,,,,741,1229,,1208,823,
bmc_brighton,BMC Brighton (Formerly St. Elizabeth's),Brighton,BMC Health System,full,17000,Destruction benign/premalignant lesion first,261.67,117.752,29.12,475.07,240.45,negotiated_dollar,BMCB HB MEDICARE - NO IME,191.39,negotiated_dollar,240.45,BMCB HB MEDICARE - NO IME,negotiated_dollar,240.45,negotiated_dollar,86.46,institutional,institutional,both,fee schedule,,,,156,312,,,,
bmc_brighton,BMC Brighton (Formerly St. Elizabeth's),Brighton,BMC Health System,full,17003,Destruction benign/premalignant lesion 2nd-14th each,,,,,3.02,bcbs_tic_insurer_mrf,HMO Blue Fully Insured (TiC),,,,,,,,3.02,institutional,institutional,outpatient,fee schedule,,,,18,51,,,,
bmc_brighton,BMC Brighton (Formerly St. Elizabeth's),Brighton,BMC Health System,full,17110,Destruction benign lesions up to 14,709.87,319.442,29.12,537.58,240.45,negotiated_dollar,BMCB HB MEDICARE - NO IME,519.2,negotiated_dollar,240.45,BMCB HB MEDICARE - NO IME,negotiated_dollar,240.45,negotiated_dollar,109.38,institutional,institutional,both,fee schedule,,,,196,393,,,,
bmc_brighton,BMC Brighton (Formerly St. Elizabeth's),Brighton,BMC Health System,full,17311,Mohs surgery first stage trunk/ext up to 5 blocks,,,,,531.13,bcbs_tic_insurer_mrf,HMO Blue Fully Insured (TiC),,,,,,,,531.13,institutional,institutional,outpatient,fee schedule,,,,1100,1843,,1652,1344,
bmc_brighton,BMC Brighton (Formerly St. Elizabeth's),Brighton,BMC Health System,full,17312,Mohs surgery each additional block,,,,,283.02,bcbs_tic_insurer_mrf,HMO Blue Fully Insured (TiC),,,,,,,,283.02,institutional,institutional,outpatient,fee schedule,,,,271,449,,,,
